Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-23 14:11:06,2020-01-23 14:11:20,13.136s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-23 14:11:07,2020-01-23 14:11:20,12.924s,FAILED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-23 14:11:07,2020-01-23 14:11:07,0.013s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-23 14:11:07,2020-01-23 14:11:07,0.001s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,,2020-01-23 14:11:07,2020-01-23 14:11:19,11.308s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.368s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.019s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.003s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.002s,PASSED
sb = new java.lang.StringBuilder(),,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.007s,PASSED
append(refidmerchant).append(SESSIONID),,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.001s,PASSED
words = Utils.generateWords(sb.toString()),,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.014s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.000s,PASSED
j = 0,,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.000s,PASSED
i = ((flag == retry)) ? 2 : 1,,,2020-01-23 14:11:19,2020-01-23 14:11:19,0.001s,PASSED
"for ([j = 0, j < i, (j++)])",,Payment,2020-01-23 14:11:19,2020-01-23 14:11:20,0.561s,FAILED
